"Lemma
（見出し語）","Japanese
(Short)","Commentary
(解説)"
Juan,ファン,"ジュアン,ファン(人名)  "
jubilant,大喜びの,喜ぶ. 歓呼する
jubilation,歓喜,歓喜. 歓呼. 歓声をあげて喜ぶこと
jubilee,ジュビリー,記念祭. 歓喜
Juda,ユダ,"ジュダ(Juda,Judah). ユダ(人名,ユダ族)の英語,フランス語などによる音訳"
Judah,ユダ,ユダ(ヤコブの子). ユダ族. 
Judaic,ユダヤ人の,ユダヤ(民族)の. ユダヤ人(風)の
Judaism,ユダヤ教,ユダヤ教
Jude,ジュード,ジュード (男性名). ユダ. ユダ書(新約聖書中の一書). 聖ジェイムズの兄弟(supposed brother of St. James)
judge,裁判官,を判断する. を裁判する. 裁判官. 審判員
judgement,判決,判断. 判断力. 分別. 裁判. 判決. 意見
judgment,判決,判断
judgmental,判断の,判断の 
judicial,司法の,裁判の
judiciary,司法,司法の
judicious,賢明な,思慮分別のある. 思慮深い
judiciously,賢明に,慎重に. 賢明に
Judith,ジュディス,ジュディス(人名)
judo,柔道,柔道
Judy,ジュディ,ジュディ(人名)
jug,ジャグ,水入れ
Juggernaut,ジャガーノート,"(インド神話)クリシュナ(Krishna)神. ヒンドゥー教の神の名. 青黒い顔で描かれることが多い. 別名が多数あり,その一つ"
juggle,ジャグリング,ジャグリング. やりくりする
juggler,ジャグラー,お手玉をする人. 手品師. 詐欺師
juggling,ジャグリング,ジャグリング 
jugular,頸静脈,頚部. 急所. 最大の弱点. 咽喉部の. 頸静脈の. 殺人的な. 熾烈な. 喉に腹びれのある
juice,ジュース,ジュース
juicy,水分の多い,水分の多い. うまみのある. おいしい
jukebox,ジュークボックス,ジュークボックス
Julie,ジュリー,ジュリー(人名)
Juliet,ジュリエット,女性名. Romeo and Julietはギリシア神話に基づくイギリスのウィリアム･シェイクスピアの戯曲. 初演1595年前後
July,7月,7月
jumble,ごた混ぜ,ごたまぜにする. よせ集め. がらくた. ごちゃまぜにする
jumbo,ジャンボ,ずばぬけて大きな
jump,ジャンプ,跳ぶ. 急増する. 飛びかかる
jumper,ジャンパー,"跳躍する人. 跳躍選手. 跳びはねる虫(ノミ他). 障害馬. 2. (ブラウスなどの上に着る)プルオーバー. ジャンパー(作業用上着). (日本語のジャンパーはwindbreaker,jacket)"
jumpsuit,ジャンプスーツ,ジャンプスーツ 
jumpy,激しく揺れる,イラ立つ(nervous). ビクビクする(afraid)
Jun,6月,6月(June)の省略形
junction,ジャンクショ​​ン,連絡駅. 連結. 接合(部). ジャンクション. はね橋. 接合器. 接点. 多重ノード
juncture,接合点,接続. 連結. 接合(点). 接合点. 危機. 転機. 合わせ目. 急場. (文法)連接
June,6月,6月
jungle,ジャングル,ジャングル
junior,ジュニア,年少の. 年少者
junk,ジャンク,がらくた(にする). 麻薬. ジャンク(中国の平底帆船). 破棄する
junket,ジャンケット,ジャンケット(凝乳に甘味をつけた食品). 宴会. 旅行
junkie,ジャンキー,(俗)麻薬常用者. ～マニア
junkyard,ジャンクヤード,古物集散所. 廃品投棄所
junta,軍事政権,(クーデター後の)軍事政権. 臨時政府. 暫定政府. (スペイン･南米)議会. 会議
Jupiter,ジュピター,"木星,ジュピター(ローマ神話,最高の神. ギリシア神話のZeus)"
Jurassic,ジュラ紀,"ジュラ紀(Jurassic period). 約1億9960万年前-1億4550万年前. 恐竜の繁栄,原始的な鳥類の出現,被子植物の出現で知られる. 次の白亜紀(Cretaceous period)に繋がった"
jurisdiction,管轄,支配権. 司法権. 管轄権
jurisprudence,法学,法律学. 法理学
jurist,法学者,法学者
jurkat,ジャーカット細胞,ジャーカット細胞(ヒト白血病T細胞株)
juror,陪審員,陪審員. juryの一員
jury,陪審,審査員団. 陪審. 陪審員団
jus,ジュース,ジュース 
just,ちょうど,ちょうど. まさに. たった今. ただ～だけ
justice,正義,正当性. 公正. 正義. 裁判. 裁判官. 司法. 司法官
justifiable,正当,正当と認められる. 筋の通った. 尤もな. 当たり前の
justifiably,正当に,正当に 
justification,正当化,正当化
justified,正当化,正当化 
justify,正当化する,正しいとする. 正当化する
Justin,ジャスティン,ジャスティン(人名)
justly,正当に,当然のことながら. 正しく
jut,突起,突き出る. 突起. 突出部
juvenile,少年,少年少女(向き)の. 若い. 少年の. 少女の
juxtapose,並置する,並列する
juxtaposed,並置,並置された 
juxtaposition,並置,並置. 並列. (比較対照のために)並べること
k,k,アルファベットのk. 例示時 K as Kilo. 
KA,KA,Acidity constant. 酸性度定数
Kabul,カブール,カブール(Afghanistanの首都)
Kaiser,カイザー,カイゼル(ドイツ･オーストリア･神聖ローマ帝国の皇帝の称号)
kale,ケール,ケール. 緑葉カンラン. ハゴロモカンラン. 2. (米俗) 金(かね)
kaleidoscope,万華鏡,万華鏡
kaleidoscopic,万華鏡のような,(景色･色)万華鏡の(ような). (効果･印象)変幻自在の
kalium,カリウム,"カリウム(Kalium独). (医学・薬学分野では英語のポタシウムPotassiumが使われる). 肥料,火薬など広い用途に使われ,植物の生育に欠かせない肥料3要素の一つ"
Kamakura,鎌倉,鎌倉(日本の都市) 
kamikaze,神風,神風特攻隊のような. 無茶な
kanamycin,カナマイシン,"カナマイシン. 1957年に梅澤濱夫により日本で最初に発見された抗生物質. 細菌性のリボソームと反応し,毒性を発揮する. この毒性は真菌類には発揮されない"
Kandahar,カンダハル,カンダハール. アフガニスタンの都市. 人口45万. カーブルに次ぎ同国第2の都市
kangaroo,カンガルー,カンガルー. オーストラリアの大型有袋類 
Kannur,カヌール,カヌール(インドの都市の名) 
Kansas,カンザス,"カンザス州,KS. 米国の中西部. 農業･牧畜が盛ん. アメリカで田舎の代名詞"
Kant,カント,Immanuel Kant イマヌエル･カント(1724年生). ドイツの哲学者
Kaplan,カプラン,カプラン. 米国の大手教育会社.  2. カプラン(人名) 
kappa,カッパ,(第10ギリシア文字)カッパ. Κ. κ
kaput,kaput,やられて. だめになって. ぶちこわされて
Karachi,カラチ,カラチ. パキスタン最大の都市. インダス川河口西に位置. 人口1. 300万人は世界第20位
Karadzic,カラジッチ,Radovan Karadzicカラジッチ. . ボスニアのセルビア系政治家. セルビア人以外のイスラム系ボスニア人やボスニア系クロアチア人の民族浄化を指揮した
karaoke,カラオケ,カラオケ. カラオケの
karate,空手,空手
Karen,カレン,カレン(人名)
Karl,カール,カール(人名)
karma,カルマ,カルマ. 業. 因縁. 宿命
karyotype,核型,"カリオタイプ,核型. (体細胞の染色体の構成の様相) "
Kashmir,カシミール,カシミール. インド･パキスタン･中国の国境山岳地帯. カラコルム山脈には世界第2のK2がそびえる. 2. カシミア(ヤギの毛から作られるカシミア織)
Kashmirus,カシミールの,カシミアの. カシミールの
KAT,KAT,"catの異表記,誤表記. (人名) 他"
Kate,ケイト,ケイト(人名)
katha,カタ,"(サンスクリット語)story,speechの意"
Katherine,キャサリン,"キャサリン(人名). (英キャサリン妃は,Catherineと別綴り)"
Kathleen,キャスリーン,キャスリーン(人名)
Kathmandu,カトマンズ,カトマンズ. ネパールの首都
Kathy,キャシー,キャシー(人名)
Kay,ケイ,ケイ(人名)
kayak,カヤック,カヤック. (カヤック競技. kayaking)
kayaker,カヤッカー,カヤッカー. カヤックに乗る人
Kazakhstan,カザフスタン,"カザフスタン共和国 Republic of Kazakhstan. 中央アジアとヨーロッパに跨る共和制国家. ロシア,中華人民共和国,キルギス他と国境を接し,カスピ海･アラル海に面す"
KB,KB,Kilobyte
kcal,キロカロリー,キロカロリー 
KCl,塩化カリウム,塩化カリウム 
KDA,KDA,Kilodalton. キロドルトン(Life Science生命科学で原子や分子の質量を表す単位)
KE,KE,Kinetic Energy. 運動エネルギー
kebab,ケバブ,カバブ. ケバブ. トルコ料理の一種
keel,キール,竜骨
keen,熱心な,しみじみとした. 鋭い. 鋭敏な. 熱心な
keenly,鋭く,熱心に. 鋭く
keep,保つ,保つ. キープする(イメージ:時間的幅をもってもの･状態を保つ)
keeper,キーパー,守る人
keeping,保管,扶養. 維持. 管理. 調和
keepsake,形見,記念品. 形見
keg,ケグ,"小さい樽(small cask or barrel). 主にアルミニウム,鉄,木でできた円筒状の容器. 2. 小さい樽に入っている量. "
Keith,キース,キース (人名)
Kelly,ケリー,ケリー (人名)
keloid,ケロイド,ケロイド 
kelp,昆布,昆布
kelvin,ケルビン,ケルビン. ケルビン温度. 絶対温度の単位. 0 K(Kelvin) =-273. 15℃
Ken,ケン,ケン(人名). 知識(の範囲). 理解
Kennedy,ケネディ,ケネディー. John Fitzgerald Kennedy(米国第35代大統領1961-63). 民主党. 就任演説Ask not what your country can do for you-ask what you can do for your country. は有名
kennel,犬小屋,犬小屋(に住む)
Kenneth,ケニス,ケニス(人名)
Kenny,ケニー,ケニー(人名)
keno,キノ,キーノ. ビンゴに似た賭博の一種
Kensington,ケンジントン,ケンジントン. ロンドンの地区名
Kent,ケント,ケント(人名)
Kentucky,ケンタッキー州,"ケンタッキー州,KY"
Kenya,ケニア,"ケニア共和国 Republic of Kenya. アフリカ東部の国. 人口4500万. 英連邦加盟. エチオピア他と接し,南東はインド洋に面す"
Kenyan,ケニアの,ケニアの 
keratinocyte,ケラチノサイト,ケラチノサイト. 角質細胞. ケラチン生成細胞. 角化細胞. ケラチン細胞
kerfuffle,騒動,"騒動,言い争い(about)"
Kern,カーン,カーン (人名)
kernel,カーネル,核心. 核. 仁
kerosene,灯油,灯油. paraffin
Kerry,ケリー,ケリー(人名)
ketch,ケッチ,2本マストの小型帆船
ketchup,ケチャップ,ケチャップ
Ketoacidosis,ケトアシドーシス,Diabetic ketoacidosis糖尿病性ケトアシドーシス. インスリンの欠乏によるアシドーシス(血液の酸塩基の平衡を酸性側にしようとする状態). 進行すると意識障害や死に至る
ketone,ケトン,ケトン. 有機化合物群. 除光液として用いられるアセトンなど. 
kettle,やかん,やかん
Kevin,ケヴィン,ケヴィン(人名)
key,キー,鍵. 手がかり. 解決の鍵. 鍵をかける. 重要な. (cf. lock. 錠)
keyboard,キーボード,キーボード. 鍵盤
keyed,キー付き,キー付き
keyhole,鍵穴,鍵穴
Keynes,ケインズ,John Maynard Keynesジョン･メイナード･ケインズ(1883-1946). イギリスの経済学者. 有効需要に基いてマクロ経済学を確立させた
Keynesian,ケインズ主義の,ケインズの 
keynote,基調,基調. 基本方針
keystone,キーストーン,要石
keyword,キーワード,キーワード. 主要語. 見出語
Kg,Kg,Kilogram. (1000グラム) 
KGB,KGB,ソ連の国家保安委員会. 1991年ロシア連邦保安庁(FSB)に移行
KH,カンボジア ,カンボジア 
khaki,カーキ,カヤック. (カヤック競技. kayaking)
khan,カーン,汗(かん)(モンゴルなどの統治者の称号). 隊商の宿舎
Khartoum,ハルツーム,ハルツーム(Sudanの首都)
Khmer,クメール語,"クメール語. カンボジア語. オーストロアジア語族の言語. カンボジアの約9割のクメール人約1400万人と,タイ,ベトナム,ラオスのカンボジア国境地域の人々約200万人が話す"
Khrushchev,フルシチョフ,"Nikita S. Khrushchev ニキータ･フルシチョフ. 1894生. ソ連の最高指導者. 共産党第一書記. スターリン死後,個人崇拝を否定,集団指導を掲げた"
khz,kHzの,キロヘルツ
kibbutz,キブツ,キブツ(イスラエルの集団農場)
kibitz,kibitz,(トランプなどゲームをそばで見物して)余計な口出しをする
kibosh,kibosh,戯言. くだらないこと. ばかげたこと. ナンセンス. にとどめを刺す. をたたきつぶす. だいなしにする
kick,キック,"蹴る. はね返る. 蹴ること. コカインなどのドラッグから刺激を得る. (俗)楽しみ,興奮"
kickback,キックバック,ぴんはね. リベート. 賄賂. 激しい反応. 反動
kickboxing,キックボクシング,キックボクシング
kicker,キッカー,ける人. 反抗者. 不平家. 意外な結末
kicking,蹴り,蹴る 
kickoff,キックオフ,キックオフ. 開始
kicky,おしゃれな,おしゃれな. 面白い. 蹴り癖のある. すてきな. シックな. 活気のある. 元気な. 最新の. 刺激的な. ワクワクする
kid,子ども,"子供. 若者青年. 子ヤギ. 子ヤギの革 2. からかう,ふざける"
kiddie,児童,子供. ちびっこ
kidding,冗談,冗談. (ex. You must be kidding me. からかってるだろう？)
kidnap,誘拐,誘拐する
kidnapper,誘拐犯,誘拐犯
kidnapping,誘拐,誘拐
kidney,腎臓,腎臓. 2. 性格. 気質. 種類. 型. 3. キドニービーンズ(豆の名)
kielbasa,キルバサ,キルバサ. ポーランドの豚肉･牛肉の薫製ソーセージ
Kiev,キエフ,キエフ(Ukraineの首都)
kill,殺す,を殺す
killed,殺された,殺された 
killer,キラー,殺し屋. 殺す動物(器械). 殺人鬼
killing,殺害,殺す. 致死の. 枯らす. 死にそうな. 骨の折れる
killjoy,水を差す人,興をさます人
kiln,窯,窯. かま
kilo,キロ,"キロ,1000の"
kilogram,キログラム,キログラム
kilometer,キロ,キロメートル
kilometre,キロ,キロメートル
kilowatt,キロワット,キロワット
kilt,キルト,キルト. スコットランドのスカート状の伝統衣装. 通常はタータン柄である
kilter,元気,好調
Kim,キム,キム(人名)
kimono,着物,着物(日本の伝統衣装)
kin,親族,親族. 血縁. 家族. 親類. 一族
Kinabalu,キナバル山,"キナバル山. ボルネオ島北部,マレーシア領のサバ州にある山. 標高 4,095mはマレーシアの最高峰"
kinase,キナーゼ,キナーゼ. リン酸化酵素の一種
kind,種類,種類. 親切な
kinda,ちょっと,"いくぶん. ちょっと. (類似語,sorta) "
kinder,キンダー,「優しい」の比較級
kindergarten,幼稚園,幼稚園
kindergartner,幼稚園児,幼稚園児 
kindle,キンドル,アマゾンが発売する電子書籍リーダー
kindly,親切に,思いやりのある. 親切に
kindness,親切,親切な行為. 親切心
kindred,親族,血縁の. 同類の. 血族. 親類. (cf. family家族. sib親類. kindred血族･親族) 
kinesin,キネシン,キネシン. 真核生物の細胞質中のモータータンパク質(Motor protein)の一種. アデノシン三リン酸(ATP)の加水分解で生じるエネルギーを運動に変換するタンパク質 
kinetic,動的,(物理学)動的な
kinetics,動力学,動力学 
king,キング,王
kingdom,王国,王国
kingfish,キングフィッシュ,ヒラマサ(魚)
kingfisher,カワセミ,カワセミ (cf. kookaburra)
kingpin,キングピン,中心人物
kingship,王政,王政. 王位. 王の身分. 王権
Kingston,キングストン,キングストン(Jamaicaの首都)
kink,キンク,"(ロープ･糸の)よじれ. 縮れ. (心,性格の)特異性. (妙な)くせ. 気まぐれ. 妙な考え. 名案,変なやつ. 筋違い. (筋肉が)つること. 問題点. 欠点. よれる. もつれる"
Kinko,キンコーズ,"キンコーズ. コピーサービス･印刷等で「ビジネスコンビニ」を展開する,カリフォルニア州発祥の企業. FEDEX,コニカミノルタ等と提携を繰り返してきた "
kinky,倒錯した,奇妙な. 狂った. 倒錯した
kinship,親族関係,親類関係
kinsman,血縁者,血縁者. 親類
kiosk,キオスク,あずまや. キオスク. 売店. 公衆電話ボックス
kip,キップ,キップなめし皮. 寝床. キープ(ラオスの通貨単位)
kipper,キッパー,に塩をして燻製にする
Kir,キール,キール(カクテルの名前. 他)
Kirk,カーク,人名. ス 2. コットランドの教会
kiss,キス,軽く触れる. キス(する). 口づけ. 軽い接触. 砂糖菓子. (風が)軽く～に触れる
kissed,キス,"キスをした,された "
kisser,キスをする人,キスをする人
Kissinger,キッシンジャー,"Henry Kissinger ヘンリー･キッシンジャー. ニクソン政権,フォード政権の国務長官. ユダヤ系ドイツ人1923-"
kit,キット,道具一式. 道具箱. 旅行用具
kitchen,キッチン,台所. キッチン
kitchenette,キチネット,簡易台所
kitchenware,台所用品,台所用品
kite,カイト,凧. ハンググライダー. 2. ぺてん師. 融通手形. 3. トビ
kitsch,キッチュ,(ドイツ語)(軽蔑的に)俗受けをねらった作品. キッチュ
kitschy,低俗な,浅薄な作品. 駄作. 大げさに誠意なく. 感情的な
kitten,子猫,子猫
kitty,キティ,子猫
kiwi,キウイ,(鳥)キウイ
KKK,KKK,Ku Klux Klan. アメリカの白人至上主義を唱える秘密結社
KL,クアラルンプール,クアラルンプール(Kuala Lumpur). マレーシアの首都. 東南アジア有数の世界都市. マレー半島南部の丘陵地帯にある. 都市圏人口730万. 一般的にKLと略称される
klansman,klansman,Ku Klux Klanの団員
Kleenex,クリネックス,クリネックス(社名) 
Klein,クライン,クライン(人名)
kleptomania,盗癖,(病的)窃盗症. 盗癖
klutz,不器用な人,ぶきっちょ. のろま. どじ
km,キロ,キロメートル. kilometers
Kmart,Kマート,Kマート(米国の大規模スーパーマーケットチェーン名)
knack,こつ,こつ
knapsack,ナップザック,ナップザック
knave,悪党,男の召使い. 悪者. 悪党
knavery,knavery,ごまかし. 悪党根性. ふらちな行ない. 不正行為
knead,こねる,こねる. もむ. (練り粉)を練る
knee,膝,ひざ. 膝. 膝で押す(突く)
kneecap,膝頭,膝蓋骨. 膝のお皿
kneel,ひざまずく,跪く(ひざまずく). 膝を曲げる. 膝を曲げること
knell,弔鐘,(nél). 悲しみの鐘. 弔いの鐘. 鐘の音
knelt,ひざまずき,ひざまづいた. kneelの過去･過去分詞
Knesset,イスラエル国会,クネセト(イスラエル議会)
knick,クニック,小物 
knickers,パンティー,婦人用ブルマー. 半ズボン
knickknack,knickknack,おもちゃ. 装飾品
knife,ナイフ,ナイフ. 小刀. ナイフで刺す
knight,騎士,騎士
knighthood,爵位,騎士道
knit,ニット,編んだ. 組む. 編む. (nit. シラミと同音語)
knitting,編み物,編物
knitwear,ニット,ニットウエア
knob,ノブ,ノブを付ける. ノブ. こぶ
knobby,節くれだった,でこぼこの. こぶだらけの
knock,ノック,たたく(音). 酷評する. トントン叩く. 強打する. 2. (野球)ノック
knockdown,倒す,ノックダウン. 現地組立(製造用部品セット). 組み立て式. 圧倒的な
knockoff,模造品,模造品 
knockout,ノックアウト,ノックアウト. 痛烈な
knoll,小山,鐘の音. 小山
knot,結び目,結び目. 節. 結ぶ
knotty,節のある,もつれた(complicated)
know,知っている,を知っている. (You know. などの間投詞的な使用が多い)
knowable,知り得る,近づきやすい. 理解できる
knowingly,故意,しりた顔で. わざと
knowle,についての知識,についての知識 
knowledge,知識,知識
knowledgeable,知識の豊富な,知性のある. よく知っている
Knox,ノックス,"ノックス(スコットランドの神学者,他) "
knuckle,ナックル,げんこつ. 指のふし. 指関節
koala,コアラ,コアラ
Kobe,神戸,神戸(日本の大阪に隣接する大港湾都市)
Kodak,コダック,"コダック. フィルム,カメラメーカー　 "
kohl,コー​​ル,コール墨. アンチモニーの粉末でアラビア婦人などがまぶたを黒く染める. 人名. (cf. call. cole. coal. kohl)
kola,コラ,"コーラ,ヒメコーラの木. アフリカ原産のアオギリ科の常緑高木. 種子(kola nut)を採るために熱帯で栽培される. 2. =cola"
Kong,香港,通称Hong Kong. 中国の香港特別行政区. 人口720万. 1842年アヘン戦争後大英帝国の植民地として設立. 1997年中国に返還 
kook,変人,変人. ばか
kookaburra,ワライカワセミ,カワセミ(=kingfisher). 水に飛び込んで魚を捕まえる. ワライカワセミは laughing kookaburra
kooky,kooky,(俗)ばかげた. 気違いの. 妙な
kool,クール,クール. メンソールたばこの商品名. (Keep Only One Loveの頭文字). (cf. cool)
Koran,コー​​ラン,コーラン(イスラム教の聖典. Quranとも綴る)
Korea,韓国,大韓民国 Republic of Korea
Korean,韓国語,. 韓国人. 韓国の. 朝鮮の
Korsakov,コルサコフ,"ニコライ･リムスキー-コルサコフ. Nikolai Rimsky-Korsakov. 1844年生. ロシアの作曲家. 千一夜物語に基づく交響組曲「シェエラザード」,「くまばちは飛ぶ」など"
kosher,コー​​シャ,正当な. (ユダヤ教)清浄な
Kosovar,コソボの,コソボの 
Kosovo,コソボ,コソボ. (東欧の地名. コソボ紛争で知られる)
Kowloon,カオルーン,九龍 (きゅうりゅう. カウルーン). 香港の市街地の一地域名
KR,KR,Khmer Rouge. クメール･ルージュ　(かつて存在したカンボジア共産党)
kraft,クラフト,クラフト紙
kraut,kraut,塩漬けかぶら
Krav,クラヴマガ,Krav Magaクラヴ(戦闘)･マガ(接近). イスラエルで考案された近接格闘術･護身術. 世界中の軍･警察関係者や一般市民に広まっている
Kremlin,クレムリン宮殿,クレムリン宮殿
krill,オキアミ,オキアミ
kris,クリス,東南アジア地区の短剣. (人名)クリス
Krishna,クリシュナ,"クリシュナ. インド神話の英雄で,ヒンドゥー教のヴィシュヌ神の化身. 青黒い肌で,黒天の名もある. 叙事詩マハーバーラタに最古の記述がある"
krispy,クリスピー,クリスピードーナツ. 米国のチェーンストア名(cf. crispyぱりぱりした)
Kristen,クリステン,クリステン (人名)
krone,クローネ,クローネ(デンマーク･ノルウェーの通貨単位)
krypton,クリプトン,クリプトン(無色不活性気体状元素)(希ガス元素)
KS,KS,Kansas カンザス州
KSM,KSM,"Kernel Shared Memory (KSMメモリー),  2. Kernel Same Page Merging　"
Kuala,クアラルンプール,クアラルンプール(Kuala Lumpur). マレーシアの首都. 東南アジア有数の世界都市. マレー半島南部の丘陵地帯にある. 一般的にKLと略称される
Kublai,フビライ,Kublai Khan. クビライ･ハン. チンギス･カン(Genghis Khan)の四男の子. 1215生. モンゴル帝国第5代皇帝として34年間統治した名君
Kubrick,キューブリック,キューブリック(人名). 2. ブロック型フィギュア玩具の名 
Kuching,クチン市,クチン(マレーシアの都市名)
kudos,名声,名声. 栄誉. 威信. 賞賛
kumquat,キンカン,キンカン(植物名)
kung,カンフー,カンフー 
Kurd,クルド,クルド人 
Kurdish,クルド,"クルド人の,クルドの "
Kurdistan,クルディスタン,"クルディスタン. クルド人居住地で12C以来の名前. トルコ,イラク,シリアにまたがり,ザグロス山脈を包含する. チグリス･ユーフラテス川の中上流域"
Kuwait,クウェート,クウェート国 State of Kuwait
Kuwaiti,クウェート,クウェートの 
Kuwaitis,クウェート,クウェートの 
kvetch,苦情,"(kvétʃ). 不平,不満をいう. 愚痴をこぼす. 不平. 苦情. 愚痴 "
KY,KY,Kentucky ケンタッキー州
kynurenine,キヌレニン,"キヌレニン. トリプトファンからナイアシンを生合成する際の中間体のひとつで,アミノ酸のひとつ"
Kyrgyzstan,キルギスタン,キルギス共和国 Kyrgyz Republic (別称Kyrgyzstan). 人口54万人. 中央アジアの旧ソビエト連邦の共和制国家
Kyushu,九州,九州. 九州地方 
l,l,アルファベットのl. 例示時 L as Lima. 
LA,LA,"Los Angelesロサンゼルス. 2. Louisianaルイジアナ州. 3. そら! あらまあ! 4. ドレミのラ(Doe,Ray,Me,Far,Sew,La,Tea)"
lab,ラボ,"研究所. laboratory. (cf. love,lab,rub,rob)"
label,ラベル,ラベル. レッテルを張る. に札を付ける. と呼ぶ
labeled,標識された,ラベルを貼った(米国式綴り. cf. labelled 英式) 
labelled,ラベルを貼った,ラベルを貼った(英国式スペル. cf. labeled 米式) 
labial,唇の,唇音. 唇の. 陰唇の
labile,不安定な,変りやすい. 不安定な
labor,労働,詳しく論じる. 労働(者). 仕事. 働く. 労務. 労働する. 骨折る. (乗物などが)骨折って進む
laboratory,実験室,研究室(所). 実験室. 試験室
labored,苦しい　,苦しい 
laborer,労働者,労働者
laborious,骨の折れる,骨のおれる
laboriously,苦労して,＜laborious. 苦労して. ほねをおって
labour,労働,働き
labourer,労働者,労働者
Labrador,ラブラドール,Labrador Retriever ラブラドール･レトリーバー. 大型犬の犬種. Retrieverは獲物を回収する意. (地名)ラブラドール地方. カナダの大西洋岸の地名. 
labyrinth,ラビリンス,迷路. 迷宮
labyrinthine,迷路のような,迷路のような
lac,ラック,ラック(ワニスの原料)
lace,レース,"をひもで縛る. レースで飾る. レース. 組み紐. ひも. (cf. race競争,人種. laceヒモ,飾る)"
lacerate,裂く,(lˈæsərèɪt)引き裂く. 2. 引き裂かれた. 裂けた
laceration,裂傷,かき切り(裂き). 傷つけること. 苦悩. 裂傷. 裂け口
lack,不足,足りない. がない. 欠ける. 不足. (cf. rack棚. lack欠ける. luck幸運)
lackadaisical,やる気のない,気力のない. 意欲のない. 怠惰な
lackey,召使い,追従する. 下男
lacking,欠けている,欠けている. 欠ける
lackluster,精彩を欠いた,つやのない. パッとしない. 活気のない
laconic,簡潔な,簡潔な
lacquer,ラッカー,ラッカー. 漆
lacquered,漆塗り,漆塗り 
lacquerware,漆器,漆器 
lacrosse,ラクロス,ラクロッス. ラクロス(ホッケーに似た球技)
lactate,乳酸塩,乳酸塩. 乳を分泌する. 乳汁を分泌する
lactic,乳酸,乳の
lactose,乳糖,ラクトース. 乳糖
lacuna,脱落,脱落(部分). 引用文. 知識の空隙. 空白. 小窩. くぼみ
lacy,レイシー,レースのような. レースの. (cf. race)
LacZ,LacZを,ラック･ゼット. 大腸菌の遺伝子の一つでレポーター遺伝子の一つ
lad,若者,少年. 若者. やつ. 男
ladder,はしご,はしご. 地位. 2. (パンストの)伝線(run). (cf. rudder. 舵. かじ. 方向舵)
laden,沢山抱えた,沢山抱えた
Ladin,ラディン,ウサマ･ビン･ラーディン. イスラム過激派テロリスト. 2001. 9. 11アメリカ同時多発テロ事件他の首謀者
ladle,ひしゃく,取鍋. ひしゃく. おたまですくう. ひしゃくでくむ
lady,女性,婦人. 女性
ladybird,テントウムシ,テントウムシ(=ladybug) 
ladybug,てんとう虫,テントウムシ(=ladybird) 
ladyfinger,レディーフィンガー,指状のカステラ風の菓子
ladyship,奥様,貴婦人の身分(品位)
Lafayette,ラファイエット,Galeries Lafayette. ギャラリー･ラファイエット. フランスの百貨店
lag,ラグ,遅れる. 懲役に処する. 遅延(ex. time lag). 前科者. (cf. ragぼろ. rug敷物. lag停滞. lug突起)
lager,ラガー,ラガービール
laggard,のろま,遅れる人
lagging,遅れ,遅れ. 2. 断熱材.  3. 逮捕する. 
lagoon,ラグーン,潟(かた). 潟湖せきこ. 沼. 礁湖. (cf. raccoon)
laguna,潟,潟 
Lahore,ラホール,ラホール. パキスタン北部パンジャーブ地方の. カラチに次ぐ大都市. ムガル帝国時代の建築物多数残る. 主要言語はパンジャーブ語. ウルドゥー語
laid,レイド,寝かせた
lain,レイン,"(自動詞lieの過去分詞)横になった. (cf. lie-lay-lain-lying) (cf. 他動詞,横たえる,並べるlay-laid-laid-laying). (cf. rain. rein. lain(pp. of lie)"
lair,隠れ家,(野獣の)巣. 穴. 隠れ場. 隠れ家
laird,レアード,地主. 2. 人名
laity,俗人,信者たち. しろうと連. 俗人連. 平信徒
lake,湖,湖
Lakeland,レークランド,レークランド市(フロリダ州)　他 
lakeside,湖畔,湖畔 
lam,逃走,逃走. ずらかる. 叩く. やっつける. 打ちすえる. 脱走する. 殴る. (cf. rumラム酒. lamb子羊. ram雄羊･RAM. lam逃走. lampランプ. ramp高速出入口. rump腰肉. lump塊)
lama,ラマ,ラマ僧. (cf. llamaは動物のラマ)
lamb,子羊,子羊. 柔和な人. (cf. rumラム酒. lamb子羊. ram雄羊･RAM. lam逃走. lampランプ. ramp高速出入口. rump腰肉. lump塊)
lambast,がみがみ言う,がみがみ言う. をひどく殴る
lambda,ラムダ,(第11ギリシア文字)ラムダ. Λ. λ
lame,ラメ,足が不自由の. 2. (仏語)キラキラした金糸を織り込んだ布
lament,嘆く,悲しむ. 嘆く
lamentable,嘆かわしい　,悲しむべき. 悲しい
lamentation,嘆き,悲嘆. 哀悼. 哀歌
lamina,薄層,薄板. 薄片. 薄層. 薄膜
laminar,層状,層流の 
laminate,ラミネート,薄板. 薄板をかぶせる
laminin,ラミニン,"ラミニンは細胞の基底膜を構成する巨大なタンパク質. 多細胞組織構築と維持,細胞増殖を促し,がん細胞と関係が深い"
lamp,ランプ,ランプ. 光明. 灯火. を照らす. (cf. rumラム酒. lamb子羊. ram雄羊･RAM. lam逃走. lampランプ. ramp高速出入口. rump腰肉. lump塊)
lampoon,ランプーン,激しく風刺する. 風刺文
lamppost,街灯柱,街灯の柱
lampshade,ランプのかさ,ランプの傘
LAN,LAN,Local Area Network. ローカル･エリア･ネットワーク
lance,ランス,切開する. 槍
lancet,ランセット,ランセット. 柳葉刀. 皮針
